KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq1_33-seq7_47,0.088325105,0.466158343,0.256403517,Bad Overlap
seq1_33-seq9_37,0.058405892,0.280913597,0.151913396,Bad Overlap
seq1_34-seq8_19,0.041420481,0.18457294,0.10309871,Bad Overlap
seq1_36-seq3_73,0.106907995,0.549989035,0.330680787,Bad Overlap
seq1_39-seq3_51,0.099069402,0.565608401,0.346734972,Bad Overlap
seq1_39-seq6_70,0.010405306,0.05254227,0.030046986,Bad Overlap
seq1_40-seq4_58,0.105627985,0.532426431,0.314048072,Bad Overlap
seq1_40-seq5_82,0.109497004,0.516128894,0.298329835,Bad Overlap
seq1_42-seq6_18,0.008892774,0.052737156,0.030647727,Bad Overlap
seq1_43-seq4_78,0.057586926,0.277225995,0.164737582,Bad Overlap
seq1_43-seq7_35,0.106716242,0.503675952,0.281475754,Bad Overlap
seq1_44-seq2_85,0.039112282,0.212824388,0.134131775,Bad Overlap
seq1_44-seq1_53,0.080853194,0.463158985,0.307429773,Good Overlap
seq1_44-seq3_46,0.011863093,0.081304731,0.050424401,Bad Overlap
seq1_46-seq7_71,0.076259722,0.370813575,0.202073046,Bad Overlap
seq1_46-seq1_7,0.031718301,0.18985553,0.125546145,Good Overlap
seq1_46-seq2_73,0.009857694,0.057928365,0.036610954,Bad Overlap
seq1_50-seq2_68,0.095714614,0.555757923,0.343532192,Bad Overlap
seq1_50-seq7_79,0.093285439,0.508978823,0.290870341,Bad Overlap
seq1_51-seq3_84,0.047526093,0.239364754,0.144935342,Bad Overlap
seq1_51-seq4_56,0.01096368,0.060302834,0.035144673,Bad Overlap
seq1_52-seq4_88,0.108473763,0.53588331,0.31462495,Bad Overlap
seq1_52-seq7_74,0.042554738,0.192607741,0.107175829,Bad Overlap
seq1_52-seq9_35,0.043454441,0.210313376,0.111040114,Bad Overlap
seq1_53-seq2_85,0.033587607,0.194993266,0.123056824,Bad Overlap
seq1_53-seq3_46,0.017489917,0.108962671,0.067232723,Bad Overlap
seq1_54-seq4_53,0.1001729,0.532920686,0.312260985,Bad Overlap
seq1_54-seq6_3,0.056908434,0.283891466,0.157191783,Bad Overlap
seq1_55-seq8_74,0.079994226,0.370968149,0.204175696,Bad Overlap
seq1_55-seq3_74,0.075852903,0.376799459,0.226827741,Bad Overlap
seq1_57-seq7_52,0.097918178,0.458464903,0.254458261,Bad Overlap
seq1_58-seq9_98,0.030048909,0.134200472,0,Bad Overlap
seq1_58-seq5_77,0.008665921,0.042541894,0.025878073,Bad Overlap
seq1_58-seq6_84,0.003757869,0.016794312,0.010042268,Bad Overlap
seq1_59-seq1_90,0.082643632,0.592594583,0.395032907,Good Overlap
seq1_60-seq2_81,0.105176229,0.577036297,0.365252043,Bad Overlap
seq1_61-seq1_82,0.065075456,0.39398934,0.260492195,Good Overlap
seq1_63-seq8_93,0.100450369,0.436668259,0.238146189,Bad Overlap
seq1_63-seq8_44,0.098111908,0.491452683,0.271004287,Bad Overlap
seq1_64-seq5_14,0.042715135,0.195784125,0.110140609,Bad Overlap
seq1_66-seq1_86,0.002999491,0.021029606,0.014609946,Good Overlap
seq1_67-seq9_91,0.032575816,0.143154055,0.077496987,Bad Overlap
seq1_68-seq9_52,0.066435954,0.322058359,0.173051117,Bad Overlap
seq1_68-seq5_71,0.01076057,0.044370015,0.024544015,Bad Overlap
seq1_69-seq7_21,0.081350335,0.399621348,0.221454404,Bad Overlap
seq1_71-seq7_78,0.02149018,0.10324328,0.056767658,Bad Overlap
seq1_71-seq3_71,0.096160738,0.458592319,0.267956388,Bad Overlap
seq1_72-seq5_98,0.111632384,0.534095804,0.314855535,Bad Overlap
seq1_72-seq9_41,0.04857548,0.234616216,0.123541931,Bad Overlap
seq1_73-seq7_81,0.060113491,0.293687906,0.162252822,Bad Overlap
seq1_73-seq8_75,0.066575162,0.314842746,0.166871358,Bad Overlap
seq1_74-seq9_76,0.10256196,0.472229492,0.252008892,Bad Overlap
seq1_74-seq5_24,0.028338217,0.130566209,0.075100942,Bad Overlap
seq1_74-seq9_32,0.019042287,0.08508754,0.046549597,Bad Overlap
seq1_76-seq8_89,0.082250626,0.398411933,0,Bad Overlap
seq1_76-seq6_47,0.0098275,0.048015215,0.028589876,Bad Overlap
seq1_76-seq7_69,0.008233788,0.042002645,0.023636779,Bad Overlap
seq1_77-seq5_86,0.01320501,0.06798739,0.03924935,Bad Overlap
seq1_78-seq4_16,0.023315566,0.117122503,0.069294841,Bad Overlap
seq1_79-seq6_75,0.022867447,0.10828285,0.059149621,Bad Overlap
seq1_80-seq2_96,0.067841456,0.356359952,0.221839176,Bad Overlap
seq1_80-seq7_92,0.048204012,0.245158332,0.137303126,Bad Overlap
seq1_81-seq5_66,0.036621606,0.170629624,0.098159686,Bad Overlap
seq1_81-seq8_27,0.035187145,0.153208635,0.079342516,Bad Overlap
seq1_81-seq5_63,0.003396068,0.01670503,0.009560949,Bad Overlap
seq1_83-seq2_94,0.055514585,0.29399508,0.182540573,Bad Overlap
seq1_83-seq9_24,0.109241147,0.473184354,0.255004784,Bad Overlap
seq1_85-seq2_90,0.078509035,0.419899906,0,Bad Overlap
seq1_86-seq7_85,0.106265321,0.499519695,0,Bad Overlap
seq1_86-seq6_38,0.08282492,0.423915521,0.240299155,Bad Overlap
seq1_86-seq6_67,0.031868385,0.158664825,0.089462214,Bad Overlap
seq1_86-seq2_30,0.00817422,0.042333703,0.025683578,Bad Overlap
seq1_86-seq8_28,0.099810426,0.463963827,0.250392658,Bad Overlap
seq1_88-seq4_81,0.079139375,0.408568974,0.239096674,Bad Overlap
seq1_89-seq7_89,0.025917571,0.123259175,0,Bad Overlap
seq1_89-seq5_32,0.046376574,0.226049412,0.129711459,Bad Overlap
seq1_89-seq5_75,0.016841045,0.079100849,0.044564675,Bad Overlap
seq1_90-seq2_44,0.109321511,0.565999484,0.347626248,Bad Overlap
seq1_90-seq3_39,0.043901722,0.270133652,0.169681517,Bad Overlap
seq1_90-seq9_13,0.026964345,0.113644686,0.058612687,Bad Overlap
seq1_90-seq3_29,0.113602439,0.520656252,0.311434173,Bad Overlap
seq1_91-seq6_65,0.090487371,0.411376061,0,Bad Overlap
seq1_91-seq4_55,0.036946419,0.173521048,0.100871206,Bad Overlap
seq1_91-seq9_36,0.028214929,0.117106405,0.060337304,Bad Overlap
seq1_92-seq9_23,0.01747158,0.081570186,0.042894153,Bad Overlap
seq1_93-seq4_98,0.044984659,0.235847856,0,Bad Overlap
seq1_93-seq2_95,0.023932347,0.126067895,0.076583295,Bad Overlap
seq1_93-seq8_39,0.017145024,0.075185769,0.039657388,Bad Overlap
seq1_94-seq8_86,0.086158466,0.38676223,0,Bad Overlap
seq1_94-seq5_87,0.109200596,0.520675623,0.299636896,Bad Overlap
seq1_94-seq5_16,0.036273585,0.157258113,0.088923093,Bad Overlap
seq1_94-seq4_87,0.106548323,0.538795399,0.328921907,Bad Overlap
seq1_95-seq5_62,0.038720046,0.189846621,0.110778874,Bad Overlap
seq1_95-seq6_21,0.01912639,0.095532804,0.054822482,Bad Overlap
seq1_95-seq9_56,0.012642725,0.055346091,0.029759295,Bad Overlap
seq1_95-seq8_46,0.093560168,0.486825805,0.264307487,Bad Overlap
seq10_7-seq10_89,0.013681953,0.068197316,0.045832771,Good Overlap
seq10_13-seq2_39,0.03711278,0.213618375,0.119540732,Bad Overlap
seq10_15-seq3_92,0.085191244,0.355306188,0.176380432,Bad Overlap
seq10_18-seq10_69,0.095654623,0.489751739,0.318990707,Good Overlap
seq10_18-seq7_84,0.100806623,0.35640514,0.160526564,Bad Overlap
seq10_20-seq2_68,0.037479965,0.174531461,0.090062937,Bad Overlap
seq10_20-seq7_79,0.051426606,0.233947665,0.113016948,Bad Overlap
seq10_21-seq1_76,0.004082765,0.023390284,0.012973399,Bad Overlap
seq10_26-seq1_93,0.011208961,0.051292797,0.027045848,Bad Overlap
seq10_30-seq5_80,0.02659483,0.127893688,0.062715666,Bad Overlap
seq10_32-seq2_62,0.037245964,0.173208253,0.087952012,Bad Overlap
seq10_32-seq6_89,0.065711705,0.264292673,0.126283531,Bad Overlap
seq10_42-seq1_51,0.049061208,0.219783558,0.114867763,Bad Overlap
seq10_44-seq4_90,0.031169127,0.132828985,0.065076188,Bad Overlap
seq10_46-seq10_76,0.10418858,0.62396614,0.415582698,Good Overlap
seq10_47-seq5_69,0.07480892,0.292607897,0.140661831,Bad Overlap
seq10_47-seq7_89,0.045387909,0.184623534,0.087022877,Bad Overlap
seq10_49-seq2_82,0.05156774,0.228933279,0.116734678,Bad Overlap
seq10_50-seq1_56,0.100309505,0.445290964,0.233799602,Bad Overlap
seq10_52-seq10_85,0.057365422,0.336272678,0.22334665,Good Overlap
seq10_52-seq7_24,0.031047402,0.131732983,0.061130423,Bad Overlap
seq10_52-seq7_7,0.026786501,0.113641529,0.053767774,Bad Overlap
seq10_56-seq2_93,0.01927776,0.083646405,0.042501372,Bad Overlap
seq10_56-seq4_75,0.098961929,0.412860455,0.205786953,Bad Overlap
seq10_58-seq2_95,0.055409903,0.241343276,0.118694838,Bad Overlap
seq10_58-seq5_82,0.031368854,0.134112532,0.065388205,Bad Overlap
seq10_61-seq7_87,0.100951909,0.40340527,0,Bad Overlap
seq10_63-seq10_74,0.067922258,0.382578031,0.253374418,Good Overlap
seq10_65-seq9_93,0.035701776,0.14269459,0.065353488,Bad Overlap
seq10_69-seq7_84,0.106409715,0,0,Bad Overlap
seq10_71-seq6_81,0.099231274,0.396688925,0,Bad Overlap
seq10_71-seq8_16,0.093821197,0.35186954,0.168218049,Bad Overlap
seq10_72-seq4_18,0.042863055,0.193117374,0.098582611,Bad Overlap
seq10_72-seq7_56,0.099641503,0.387067993,0.180278621,Bad Overlap
seq10_73-seq1_21,0.036373483,0.1641137,0.08588334,Bad Overlap
seq10_75-seq2_74,0.071232031,0.34087903,0.17247409,Bad Overlap
seq10_77-seq6_12,0.027403587,0.112117916,0.051876574,Bad Overlap
seq10_79-seq9_66,0.049044943,0.198398307,0.092187706,Bad Overlap
seq10_79-seq6_14,0.055958198,0.221007133,0.107411512,Bad Overlap
seq10_81-seq8_82,0.100077529,0,0,Bad Overlap
seq10_81-seq6_74,0.058454271,0.240935393,0,Bad Overlap
seq10_81-seq5_93,0.106778559,0.410117331,0.198225531,Bad Overlap
seq10_81-seq7_38,0.027870383,0.115132804,0.054483273,Bad Overlap
seq10_83-seq9_99,0.098188713,0,0,Bad Overlap
seq10_85-seq7_24,0.077627568,0.345919399,0.163416006,Bad Overlap
seq10_86-seq6_68,0.101930898,0.41519547,0.200622655,Bad Overlap
seq10_86-seq7_31,0.02412589,0.087959415,0.040114587,Bad Overlap
seq10_87-seq7_82,0.098323462,0.401641191,0,Bad Overlap
seq10_90-seq8_88,0.024737387,0.095188588,0.043008116,Bad Overlap
seq10_91-seq1_22,0.016558304,0.080463001,0.041610229,Bad Overlap
seq10_92-seq4_53,0.025087846,0.099898739,0.049008093,Bad Overlap
seq10_92-seq1_54,0.012009678,0.059073377,0.030523661,Bad Overlap
seq10_93-seq7_62,0.06265049,0.264253603,0,Bad Overlap
seq10_94-seq3_87,0.087323929,0,0,Bad Overlap
seq10_94-seq2_79,0.029426653,0.12122276,0.06245459,Bad Overlap
seq10_94-seq9_94,0.019624748,0.077341981,0,Bad Overlap
seq10_94-seq2_26,0.010239304,0.044165437,0.023202697,Bad Overlap
seq10_95-seq4_64,0.093432701,0.376772575,0,Bad Overlap
seq10_95-seq6_41,0.065488498,0.266950091,0.124747968,Bad Overlap
seq10_95-seq6_32,0.096099973,0.388177602,0.182118436,Bad Overlap
seq10_96-seq1_64,0.034915499,0.155573558,0,Bad Overlap
seq10_96-seq7_39,0.061849356,0.247564852,0,Bad Overlap
seq10_96-seq5_14,0.011880991,0.047815606,0.023318771,Bad Overlap
seq6_5-seq7_90,0.01317802,0.060173283,0.029565364,Bad Overlap
seq6_5-seq9_78,0.019850048,0.086236892,0.04282773,Bad Overlap
seq6_17-seq8_85,0.029789876,0.123136228,0.063302269,Bad Overlap
seq6_24-seq7_46,0.084674835,0.421471992,0.210999696,Bad Overlap
seq6_28-seq7_60,0.023586743,0.092650839,0.047358999,Bad Overlap
seq6_29-seq6_8,0.011184256,0.061686136,0.037873096,Good Overlap
seq6_32-seq6_41,0.009655358,0.055743395,0.037507806,Good Overlap
seq6_34-seq8_28,0.018354849,0.078637766,0.039674996,Bad Overlap
seq6_35-seq7_17,0.095033774,0.431315022,0.215993627,Bad Overlap
seq6_38-seq7_85,0.03076108,0.134020601,0.06629879,Bad Overlap
seq6_41-seq6_62,0.050490551,0.299114268,0.203917508,Good Overlap
seq6_43-seq9_53,0.094268481,0.425801675,0.209980447,Bad Overlap
seq6_45-seq9_85,0.01825092,0.070879222,0.034046036,Bad Overlap
seq6_46-seq6_52,0.098405733,0.620732486,0.411767933,Good Overlap
seq6_50-seq6_91,0.005694914,0.034826152,0.022533882,Good Overlap
seq6_53-seq6_75,0.014603836,0.087416632,0.058519986,Good Overlap
seq6_55-seq7_94,0.01436664,0.061486466,0.030667443,Bad Overlap
seq6_57-seq8_42,0.032935555,0.135163825,0.067355806,Bad Overlap
seq6_59-seq8_92,0.093482381,0.427646206,0.213875001,Bad Overlap
seq6_65-seq9_36,0.027700832,0.115570482,0.056457754,Bad Overlap
seq6_67-seq7_85,0.035612755,0.168253978,0.085364697,Bad Overlap
seq6_72-seq9_96,0.098668305,0.41249219,0,Bad Overlap
seq6_73-seq7_41,0.03071921,0.131558793,0.064326061,Bad Overlap
seq6_74-seq8_82,0.088126336,0.382102461,0,Bad Overlap
seq6_74-seq7_38,0.05257083,0.245149887,0.125376943,Bad Overlap
seq6_76-seq9_74,0.101478264,0.453956151,0.230071301,Bad Overlap
seq6_78-seq7_51,0.036785236,0.158628884,0.080224584,Bad Overlap
