KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
seq8_15-seq8_57,0.138405797,0.138821825,0.011722642,0.083693834,0.053960958,Good Overlap,1153,1,1147,11118,7128,8278
seq6_55-seq7_94,0.140016779,0.139631826,0.012685253,0.060848095,0.03008249,Bad Overlap,5088,68,5075,38487,30740,35731
seq1_44-seq3_46,0.140992167,0.138141809,0.010887558,0.08081245,0.049855643,Bad Overlap,7117,1389,2199,813,17,808
origSeq_75-seq5_26,0.144749701,0.144935403,0.012317933,0.074966097,0.042010942,Bad Overlap,6023,4,1337,4532,3190,4525
seq5_60-seq9_45,0.145828028,0.144666383,0.012457572,0.061417701,0.02964737,Bad Overlap,11413,180,1898,2259,548,2250
seq8_40-seq9_98,0.146814404,0.146123651,0.012402715,0.059668002,0.028160355,Bad Overlap,6571,51,6040,40412,34273,40229
seq5_32-seq7_89,0.146882705,0.147401434,0.012661859,0.064698116,0.03246671,Bad Overlap,4791,4,4591,31093,26442,31048
seq1_24-seq4_4,0.148741419,0.151459854,0.01363963,0.086966173,0.053906021,Bad Overlap,3526,21,671,1536,865,1529
seq2_26-seq9_94,0.149577805,0.14904012,0.014142393,0.066625016,0.033862884,Bad Overlap,2729,47,2651,23196,14727,17320
seq2_83-seq2_92,0.150044524,0.13057905,0.013620555,0.087114342,0.054725241,Good Overlap,16287,572,2931,2022,7,2014
seq1_32-seq3_93,0.150075796,0.147707119,0.012981975,0.088656209,0.056060219,Bad Overlap,605,4,598,27739,3357,3940
origSeq_54-seq7_85,0.150841295,0.152489451,0.013607335,0.075416849,0.041720735,Bad Overlap,5146,1,3569,22128,18509,22123
seq8_15-seq8_67,0.150975966,0.152439024,0.0133544,0.091257015,0.05828801,Good Overlap,1153,10,1147,9036,6388,7538
seq7_92-seq8_4,0.153255426,0.151768543,0.013458242,0.068744238,0.03475148,Bad Overlap,35718,23751,25587,1968,13,1828
origSeq_10-seq4_38,0.153719008,0.149678223,0.015541068,0.089010666,0.056061149,Bad Overlap,752,1,745,7557,4089,4810
seq1_93-seq8_39,0.154688701,0.158247225,0.014468191,0.074228034,0.038723147,Bad Overlap,17969,12767,13572,891,2,829
origSeq_94-seq10_67,0.15481523,0.154972943,0.013203637,0.071026424,0.037095818,Bad Overlap,14804,4128,5787,1745,40,1701
seq2_43-seq5_73,0.155558041,0.152144622,0.013313133,0.076719501,0.041703356,Bad Overlap,4052,20,1411,6276,4910,6265
seq2_85-seq3_49,0.155807911,0.156619556,0.015152322,0.082063452,0.047571217,Bad Overlap,13618,3230,4849,1640,3,1632
seq2_19-seq2_93,0.156070691,0.156554651,0.014876665,0.098761767,0.06637153,Good Overlap,4088,0,4080,30071,22054,26149
seq1_89-seq5_75,0.156165299,0.155789161,0.014428309,0.078069724,0.043499595,Bad Overlap,15964,1,4207,15172,10970,15164
seq2_83-seq5_31,0.157099154,0.157149712,0.014631268,0.080976426,0.045701121,Bad Overlap,16287,31,2650,3042,415,3035
