KEY	ERROR	SCORE	OVERLAP TYPE
seq1_83-seq2_94	No error	0.638734658	Bad Overlap
seq1_83-seq9_24	No error	0.548454387	Bad Overlap
seq1_85-seq2_90	No error	0.636864024	Bad Overlap
seq1_86-seq7_85	No error	0.566721074	Bad Overlap
seq1_86-seq6_38	No error	0.582414157	Bad Overlap
seq1_86-seq6_67	No error	0.578121477	Bad Overlap
seq1_86-seq2_30	No error	0.622741807	Bad Overlap
seq1_86-seq8_28	No error	0.551489021	Bad Overlap
seq1_88-seq4_81	No error	0.601660726	Bad Overlap
seq1_89-seq7_89	No error	0.553851729	Bad Overlap
seq1_89-seq5_32	No error	0.587341874	Bad Overlap
seq1_89-seq5_75	No error	0.576011361	Bad Overlap
seq1_90-seq2_44	No error	0.630829411	Bad Overlap
seq1_90-seq3_39	No error	0.65000424	Bad Overlap
seq1_90-seq9_13	No error	0.522614113	Bad Overlap
seq1_90-seq3_29	No error	0.610857879	Bad Overlap
seq1_91-seq6_65	No error	0.568594143	Bad Overlap
seq1_91-seq4_55	No error	0.595628463	Bad Overlap
seq1_91-seq9_36	No error	0.522211996	Bad Overlap
seq1_92-seq9_23	No error	0.53592695	Bad Overlap
seq1_93-seq4_98	No error	0.605953655	Bad Overlap
seq1_93-seq2_95	No error	0.624954669	Bad Overlap
seq1_93-seq8_39	No error	0.535242089	Bad Overlap
seq1_94-seq8_86	No error	0.545117605	Bad Overlap
seq1_94-seq5_87	No error	0.588532246	Bad Overlap
seq1_94-seq5_16	No error	0.574761922	Bad Overlap
seq1_94-seq4_87	No error	0.627911223	Bad Overlap
seq1_95-seq5_62	No error	0.596853962	Bad Overlap
seq1_95-seq6_21	No error	0.587694254	Bad Overlap
seq1_95-seq9_56	No error	0.54731953	Bad Overlap
seq1_95-seq8_46	No error	0.555932091	Bad Overlap
seq10_7-seq10_89	No error	0.690113269	Good Overlap
seq10_13-seq2_39	No error	0.579715027	Bad Overlap
seq10_15-seq3_92	No error	0.501951075	Bad Overlap
seq10_18-seq10_69	No error	0.668594022	Good Overlap
seq10_18-seq7_84	No error	0.450296783	Bad Overlap
seq10_20-seq2_68	No error	0.525731883	Bad Overlap
seq10_20-seq7_79	No error	0.490839163	Bad Overlap
seq10_21-seq1_76	No error	0.572106749	Bad Overlap
seq10_26-seq1_93	No error	0.538254158	Bad Overlap
seq10_30-seq5_80	No error	0.501368875	Bad Overlap
seq10_32-seq2_62	No error	0.517126627	Bad Overlap
seq10_32-seq6_89	No error	0.482224798	Bad Overlap
seq10_42-seq1_51	No error	0.531610628	Bad Overlap
seq10_44-seq4_90	No error	0.496494793	Bad Overlap
seq10_46-seq10_76	No error	0.688928207	Good Overlap
seq10_47-seq5_69	No error	0.485000825	Bad Overlap
seq10_47-seq7_89	No error	0.476063293	Bad Overlap
seq10_49-seq2_82	No error	0.518555268	Bad Overlap
seq10_50-seq1_56	No error	0.53452058	Bad Overlap
seq10_52-seq10_85	No error	0.687492452	Good Overlap
seq10_52-seq7_24	No error	0.469603724	Bad Overlap
seq10_52-seq7_7	No error	0.479392282	Bad Overlap
seq10_56-seq2_93	No error	0.516220824	Bad Overlap
seq10_56-seq4_75	No error	0.505240319	Bad Overlap
seq10_58-seq2_95	No error	0.498980477	Bad Overlap
seq10_58-seq5_82	No error	0.4937132	Bad Overlap
seq10_61-seq7_87	No error	0.48179149	Bad Overlap
seq10_63-seq10_74	No error	0.684156311	Good Overlap
seq10_65-seq9_93	No error	0.461841406	Bad Overlap
seq10_69-seq7_84	No error	0.466675717	Bad Overlap
seq10_71-seq6_81	No error	0.486448028	Bad Overlap
seq10_71-seq8_16	No error	0.480473401	Bad Overlap
seq10_72-seq4_18	No error	0.518802094	Bad Overlap
seq10_72-seq7_56	No error	0.468874299	Bad Overlap
seq10_73-seq1_21	No error	0.533588757	Bad Overlap
seq10_75-seq2_74	No error	0.515900206	Bad Overlap
seq10_77-seq6_12	No error	0.467731172	Bad Overlap
seq10_79-seq9_66	No error	0.46920878	Bad Overlap
seq10_79-seq6_14	No error	0.490051546	Bad Overlap
seq10_81-seq8_82	No error	0	Bad Overlap
seq10_81-seq6_74	No error	0.48531934	Bad Overlap
seq10_81-seq5_93	No error	0.486729397	Bad Overlap
seq10_81-seq7_38	No error	0.478198385	Bad Overlap
seq10_83-seq9_99	No error	0	Bad Overlap
