KEY 	 ALPHA 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
origSeq_110:seq5_103	1.0	0.855979727720997602	0.855979727720997602	0.65620945843840211754	NA
origSeq_110:seq5_115	1.0	0.8550772969417954186	0.8550772969417954186	0.6678876189907551665	NA
origSeq_110:seq5_87	1.0	0.85408794724898145595	0.85408794724898145595	0.6711504418553604044	NA
origSeq_110:seq5_190	1.0	0.8609991370421445825	0.8609991370421445825	0.6616223347292652542	NA
origSeq_110:seq5_68	1.0	0.8478229233587238769	0.8478229233587238769	0.657005709669601973	NA
origSeq_110:origSeq_57	0.9816949152542372	0.8127398925933061786	0.8127398925933061786	0.71745013370209317183	NA
origSeq_110:seq5_43	0.9847883597883598	0.842645586533475075	0.842645586533475075	0.6774114054108756297	NA
origSeq_110:seq5_194	0.6185929648241206	0.54137281687930788164	0.54137281687930788164	0.42384755163189541277	NA
origSeq_110:origSeq_176	0.9944237918215614	0.85335726729852753685	0.85335726729852753685	0.72536538387479939803	NA
origSeq_110:seq5_81	0.9751677852348993	0.83361396912893341745	0.83361396912893341745	0.66325059719802668577	NA
origSeq_110:seq5_124	1.0	0.8340912290767578684	0.8340912290767578684	0.68121214121278335417	NA
origSeq_110:origSeq_74	0.9988571428571429	0.85482222411223742777	0.85482222411223742777	0.6956997053593047603	NA
origSeq_110:origSeq_26	0.9845722300140253	0.80833806253376738103	0.80833806253376738103	0.7097877442442369917	NA
origSeq_110:origSeq_185	0.9983922829581994	0.85277593912317972436	0.85277593912317972436	0.71882597129393941326	NA
origSeq_110:origSeq_82	0.9808429118773946	0.8559079236452447793	0.8559079236452447793	0.74388617917183674197	NA
origSeq_110:seq5_181	1.0	0.8841889699613177249	0.8841889699613177249	0.6622043440998675007	NA
origSeq_111:origSeq_190	0.9995847176079734	0.8598403024259535544	0.8598403024259535544	0.7284647987852444607	NA
origSeq_111:origSeq_93	1.0	0.84999774339480762793	0.84999774339480762793	0.7289609583361393113	NA
origSeq_111:origSeq_189	0.9995840266222962	0.8508088721988109342	0.8508088721988109342	0.72485850936904008986	NA
origSeq_111:origSeq_175	1.0	0.8453016877919734629	0.8453016877919734629	0.72268254520316388835	NA
origSeq_111:origSeq_185	0.9995827248070103	0.8379823101281687695	0.8379823101281687695	0.71987200384140940173	NA
origSeq_111:origSeq_151	1.0	0.85208061910000100427	0.85208061910000100427	0.7201928540177162855	NA
origSeq_111:origSeq_187	0.9995805369127517	0.8485878627447673974	0.8485878627447673974	0.71330171192624126664	NA
origSeq_111:origSeq_50	1.0	0.8575191384676188295	0.8575191384676188295	0.7158991056266644999	NA
origSeq_111:origSeq_37	1.0	0.8414379596683227298	0.8414379596683227298	0.70368159396627582213	NA
origSeq_111:origSeq_80	1.0	0.8573857711869251035	0.8573857711869251035	0.71679334856973186984	NA
origSeq_111:origSeq_129	0.9979577944179714	0.8573381178509010132	0.8573381178509010132	0.7135716828248715205	NA
origSeq_111:seq5_146	1.0	0.8588951457847316789	0.8588951457847316789	0.6607878985920377933	NA
origSeq_111:seq5_181	0.9995805369127517	0.8437756760267039644	0.8437756760267039644	0.67054330999828285333	NA
origSeq_111:seq5_179	0.9995819397993311	0.85764672784291876804	0.85764672784291876804	0.6616505070160585551	NA
origSeq_111:seq5_133	0.9995805369127517	0.85748716009686055966	0.85748716009686055966	0.66421464095056285607	NA
