seq2_72	seq2_182	1228	0	-	+	+	100	0	6745	0	s	s
seq2_45	seq2_182	1031	0	-	+	+	75	0	3170	0	s	s
seq2_180	seq2_196	14989	0	-	+	+	41	0	10271	0	s	s
seq2_81	seq2_196	13376	0	-	+	+	10	0	1536	0	s	s
seq2_119	seq2_196	7229	0	-	+	+	51	0	7629	0	s	s
seq2_47	seq2_196	5191	0	-	+	+	38	0	3201	0	s	s
seq2_161	seq2_196	2697	0	-	+	+	87	0	18701	0	s	s
seq2_75	seq2_196	2825	0	-	+	+	46	0	2370	0	s	s
seq2_112	seq2_196	1938	0	-	+	+	90	0	16809	0	s	s
seq2_187	seq2_196	1897	0	-	+	+	88	0	13972	0	s	s
seq2_197	seq2_196	1417	0	-	+	+	90	0	12485	0	s	s
seq2_72	seq2_196	1366	0	-	+	+	91	0	14226	0	s	s
seq2_45	seq2_196	1154	0	-	+	+	73	0	3047	0	s	s
seq2_182	seq2_196	110	0	-	+	+	98	0	6635	0	s	s
seq2_180	seq2_83	15409	0	-	+	+	100	0	8551	0	s	s
seq2_81	seq2_83	13678	0	-	+	+	14	0	1234	0	s	s
seq2_119	seq2_83	7668	0	-	+	+	84	0	7190	0	s	s
seq2_47	seq2_83	5551	0	-	+	+	34	0	2841	0	s	s
seq2_161	seq2_83	3608	0	-	+	+	100	0	8551	0	s	s
seq2_75	seq2_83	3163	0	-	+	+	39	0	2032	0	s	s
seq2_112	seq2_83	2397	0	-	+	+	100	0	8551	0	s	s
seq2_187	seq2_83	2314	0	-	+	+	100	0	8551	0	s	s
seq2_197	seq2_83	1864	0	-	+	+	100	0	8551	0	s	s
seq2_72	seq2_83	1776	0	-	+	+	100	0	8551	0	s	s
seq2_45	seq2_83	1515	0	-	+	+	64	0	2686	0	s	s
seq2_182	seq2_83	539	0	-	+	+	92	0	6206	0	s	s
seq2_196	seq2_83	442	0	-	+	+	100	0	8551	0	s	s
seq2_180	seq2_168	15948	0	-	+	+	100	0	1400	0	s	s
seq2_119	seq2_168	8180	0	-	+	+	100	0	1400	0	s	s
seq2_47	seq2_168	6098	0	-	+	+	100	0	1400	0	s	s
seq2_161	seq2_168	4145	0	-	+	+	100	0	1400	0	s	s
seq2_75	seq2_168	3730	0	-	+	+	100	0	1400	0	s	s
seq2_112	seq2_168	2921	0	-	+	+	100	0	1400	0	s	s
seq2_187	seq2_168	2768	0	-	+	+	100	0	1400	0	s	s
seq2_197	seq2_168	2348	0	-	+	+	100	0	1400	0	s	s
seq2_72	seq2_168	2254	0	-	+	+	100	0	1400	0	s	s
seq2_45	seq2_168	2079	0	-	+	+	100	0	1400	0	s	s
seq2_182	seq2_168	1025	0	-	+	+	100	0	1400	0	s	s
seq2_196	seq2_168	899	0	-	+	+	100	0	1400	0	s	s
seq2_83	seq2_168	564	0	-	+	+	100	0	1400	0	s	s
seq2_180	seq2_53	17131	0	-	+	+	100	0	3945	0	s	s
seq2_119	seq2_53	9373	0	-	+	+	100	0	3945	0	s	s
seq2_47	seq2_53	7268	0	-	+	+	28	0	1124	0	s	s
seq2_161	seq2_53	5289	0	-	+	+	100	0	3945	0	s	s
seq2_112	seq2_53	4097	0	-	+	+	100	0	3945	0	s	s
seq2_187	seq2_53	4009	0	-	+	+	100	0	3945	0	s	s
seq2_197	seq2_53	3583	0	-	+	+	100	0	3945	0	s	s
seq2_72	seq2_53	3454	0	-	+	+	100	0	3945	0	s	s
seq2_182	seq2_53	2235	0	-	+	+	100	0	3945	0	s	s
seq2_196	seq2_53	2129	0	-	+	+	100	0	3945	0	s	s
seq2_83	seq2_53	1690	0	-	+	+	100	0	3945	0	s	s
seq2_180	seq2_131	17171	0	-	+	+	48	0	8089	0	s	s
seq2_119	seq2_131	9418	0	-	+	+	37	0	5440	0	s	s
seq2_161	seq2_131	4956	0	-	+	+	97	0	16442	0	s	s
seq2_112	seq2_131	4187	0	-	+	+	86	0	14560	0	s	s
seq2_187	seq2_131	4065	0	-	+	+	74	0	11804	0	s	s
seq2_197	seq2_131	3595	0	-	+	+	74	0	10307	0	s	s
seq2_72	seq2_131	3531	0	-	+	+	77	0	12061	0	s	s
seq2_182	seq2_131	2284	0	-	+	+	66	0	4461	0	s	s
seq2_196	seq2_131	2249	0	-	+	+	100	0	16983	0	s	s
seq2_83	seq2_131	1751	0	-	+	+	80	0	6800	0	s	s
seq2_53	seq2_131	34	0	-	+	+	99	0	3911	0	s	s
seq2_180	seq2_54	17298	0	-	+	+	100	0	4325	0	s	s
seq2_119	seq2_54	9539	0	-	+	+	100	0	4325	0	s	s
seq2_161	seq2_54	5469	0	-	+	+	100	0	4325	0	s	s
seq2_112	seq2_54	4254	0	-	+	+	100	0	4325	0	s	s
seq2_187	seq2_54	4177	0	-	+	+	100	0	4325	0	s	s
seq2_197	seq2_54	3754	0	-	+	+	100	0	4325	0	s	s
seq2_72	seq2_54	3630	0	-	+	+	100	0	4325	0	s	s
seq2_182	seq2_54	2399	0	-	+	+	100	0	4325	0	s	s
seq2_196	seq2_54	2292	0	-	+	+	100	0	4325	0	s	s
seq2_83	seq2_54	1863	0	-	+	+	100	0	4325	0	s	s
seq2_53	seq2_54	168	0	-	+	+	96	0	3777	0	s	s
seq2_131	seq2_54	119	0	-	+	+	100	0	4325	0	s	s
seq2_180	seq2_91	17984	0	-	+	+	100	0	5596	0	s	s
seq2_119	seq2_91	10230	0	-	+	+	83	0	4628	0	s	s
seq2_161	seq2_91	6184	0	-	+	+	100	0	5596	0	s	s
seq2_112	seq2_91	4965	0	-	+	+	100	0	5596	0	s	s
seq2_187	seq2_91	4895	0	-	+	+	100	0	5596	0	s	s
seq2_197	seq2_91	4442	0	-	+	+	100	0	5596	0	s	s
seq2_72	seq2_91	4343	0	-	+	+	100	0	5596	0	s	s
seq2_182	seq2_91	3100	0	-	+	+	65	0	3645	0	s	s
seq2_196	seq2_91	3018	0	-	+	+	100	0	5596	0	s	s
seq2_83	seq2_91	2579	0	-	+	+	100	0	5596	0	s	s
seq2_53	seq2_91	868	0	-	+	+	78	0	3077	0	s	s
seq2_131	seq2_91	813	0	-	+	+	100	0	5596	0	s	s
seq2_54	seq2_91	701	0	-	+	+	84	0	3624	0	s	s
seq2_180	seq2_110	18034	0	-	+	+	100	0	1269	0	s	s
seq2_119	seq2_110	10273	0	-	+	+	100	0	1269	0	s	s
seq2_161	seq2_110	6206	0	-	+	+	100	0	1269	0	s	s
seq2_112	seq2_110	4990	0	-	+	+	100	0	1269	0	s	s
seq2_187	seq2_110	4888	0	-	+	+	100	0	1269	0	s	s
seq2_197	seq2_110	4472	0	-	+	+	100	0	1269	0	s	s
seq2_72	seq2_110	4355	0	-	+	+	100	0	1269	0	s	s
seq2_182	seq2_110	3137	0	-	+	+	100	0	1269	0	s	s
seq2_196	seq2_110	3019	0	-	+	+	100	0	1269	0	s	s
seq2_83	seq2_110	2629	0	-	+	+	100	0	1269	0	s	s
seq2_53	seq2_110	926	0	-	+	+	100	0	1269	0	s	s
seq2_131	seq2_110	887	0	-	+	+	100	0	1269	0	s	s
seq2_54	seq2_110	761	0	-	+	+	100	0	1269	0	s	s
seq2_91	seq2_110	40	0	-	+	+	100	0	1269	0	s	s
seq2_180	seq2_71	18533	0	-	+	+	59	0	6727	0	s	s
seq2_119	seq2_71	10751	0	-	+	+	36	0	4107	0	s	s
seq2_161	seq2_71	6695	0	-	+	+	100	0	11472	0	s	s
seq2_112	seq2_71	5484	0	-	+	+	100	0	11472	0	s	s
seq2_187	seq2_71	5407	0	-	+	+	91	0	10462	0	s	s
seq2_197	seq2_71	4953	0	-	+	+	78	0	8949	0	s	s
seq2_72	seq2_71	4886	0	-	+	+	93	0	10706	0	s	s
seq2_182	seq2_71	3616	0	-	+	+	46	0	3129	0	s	s
seq2_196	seq2_71	3535	0	-	+	+	100	0	11472	0	s	s
seq2_83	seq2_71	3079	0	-	+	+	64	0	5472	0	s	s
seq2_53	seq2_71	1374	0	-	+	+	65	0	2571	0	s	s
seq2_131	seq2_71	1345	0	-	+	+	100	0	11472	0	s	s
seq2_54	seq2_71	1216	0	-	+	+	72	0	3109	0	s	s
