KEY 	 ALPHA 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
origSeq_126-origSeq_182	0.9909672563041023	0.12896931632898704657	0.64690808890011817833	0.44751093111285886414	Good Overlap
origSeq_126-origSeq_67	0.9930178432893716	0.12924936272120709374	0.64460918243223082265	0.44277475823775689444	Good Overlap
origSeq_126-origSeq_131	0.9909297052154195	0.13214079818155162086	0.63097489312350879976	0.42760771802458962738	Good Overlap
origSeq_126-origSeq_192	0.9992369324685234	0.13167131642405008073	0.636747152044312425	0.4318422555986182381	Good Overlap
origSeq_126-origSeq_71	0.9909297052154195	0.15199690080797720439	0.6366531707879256744	0.43326934950621802641	Good Overlap
origSeq_126-origSeq_48	0.9909297052154195	0.13274369187773745472	0.62674019580211132126	0.4215911015074913224	Good Overlap
origSeq_126-origSeq_169	0.9961636828644501	0.13750792923518822019	0.6320176561206231924	0.4271947738946494139	Good Overlap
origSeq_126-origSeq_61	0.9871159563924677	0.1367743778720059881	0.627327582402819153	0.42481567060310176012	Good Overlap
origSeq_126-origSeq_171	0.9807191245440333	0.13282500908273723933	0.6408553589067157561	0.4439385056866432637	Good Overlap
origSeq_126-origSeq_133	0.9938900203665988	0.13811524049656433373	0.66266059644155761075	0.46312750532090787294	Good Overlap
origSeq_126-origSeq_142	0.9948453608247423	0.15696914338906471538	0.6283268336438781074	0.4192976757991700483	Good Overlap
origSeq_126-origSeq_149	0.9481765834932822	0.13815377411179975955	0.6475014782411096845	0.46363250364958069196	Good Overlap
origSeq_127-origSeq_192	0.9988195715044561	0.13785408829762454722	0.6295834246881667526	0.0	Good Overlap
origSeq_127-origSeq_169	0.9993071302595112	0.1388676208010678096	0.62777342794358074215	0.0	Good Overlap
origSeq_127-origSeq_133	0.9992435703479576	0.14326021603469339002	0.6271972922781748054	0.0	Good Overlap
origSeq_127-origSeq_131	0.9980796218332225	0.14198825886766989195	0.61518661468830894304	0.0	Good Overlap
origSeq_127-origSeq_140	0.9993179382246906	0.14492673981519674987	0.63877002110819136853	0.4329719059642508582	Good Overlap
origSeq_127-origSeq_177	0.9997980206018986	0.13731926341136805662	0.6403550917531505358	0.43542295709551520757	Good Overlap
origSeq_127-origSeq_167	0.9961966340211087	0.13975598661190203699	0.621376205936345551	0.41343412392436991814	Good Overlap
origSeq_127-origSeq_73	0.9984432336261537	0.14074913728625904326	0.6298887238131273555	0.42325124420605826856	Good Overlap
origSeq_127-origSeq_165	0.9977976600137646	0.12500337188900520534	0.62572468793080564427	0.41693452722525618966	Good Overlap
origSeq_127-origSeq_158	0.9991502620025492	0.13884451755520702892	0.6385798414175052204	0.43176577847358250904	Good Overlap
origSeq_127-origSeq_179	0.9945511901347863	0.14202922812720894398	0.64249225304104380175	0.43825170550421769752	Good Overlap
origSeq_127-origSeq_89	0.9992966661977775	0.13165542467583493028	0.6199627255485432124	0.41009155797622852171	Good Overlap
origSeq_127-origSeq_139	0.9931138730265368	0.14370606515505480743	0.6407414861513097789	0.4374306146159385089	Good Overlap
origSeq_127-origSeq_75	0.9875818090283605	0.13754516160029901468	0.6293963449238267593	0.42567353322914126582	Good Overlap
origSeq_127-origSeq_157	0.9991220368744512	0.13676984834311603259	0.6331837703742437404	0.42506516585099699305	Good Overlap
origSeq_127-origSeq_34	0.9977605512489234	0.14276419670271271544	0.62850856292894996573	0.42255492664808277445	Good Overlap
